LOGIN_ID,PASSWORD,DATA_LOGINID,SERVICE_CODE,FILE_TYPE,CATEGORY_CODE,DOMAIN_CODE,GEO_DOMAIN_CODE,NO_OF_RECORDS,SCHEDULE_NOW,REQUEST_FOR,FREQUENCY_CODE,ITERATIONS,SCHEDULE_DATE,UPLOADED_LOCATION,TYPE,EXTERNAL_CODE,TestcaseId,TestcaseType,Module,Description
,,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,1,Negative,Batch Schedule Recharge,"To verfy validation message appears ""Login Id or External code is not available in request"" when LOGIN_ID or EXTERNAL_CODE  not provided"
corpuser,,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,2,Negative,Batch Schedule Recharge,"To verify validation messsage appears ""Password is not available in request"" when password is not provided"
corpuser1,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,3,Negative,Batch Schedule Recharge,"To verify validation message appears ""User does not exists in the system"" when wrong LOGIN_ID provided"
corpuser,abcd,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,4,Negative,Batch Schedule Recharge,"To verify validation message appears ""User ID or Password is incorrec"" when wrong PASSWORD provided"
,,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,dsadsad,5,Negative,Batch Schedule Recharge,"To verify validation message  appears ""User does not exists in the system"" when wrong extternal code provided"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,,,6,Negative,Batch Schedule Recharge,"To verify validation message appears ""Action type does not exists in the request"" when TYPE is not provided"
corpuser,1357,,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,7,Negative,Batch Schedule Recharge,"To verify validation message appears ""loginid.is.required"" when loginid  not provided"
corpuser,1357,corpuser,,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,8,Negative,Batch Schedule Recharge,"To verify validation message appears ""schedule.recharge.service.is.required"" when service  not provided"
corpuser,1357,corpuser,RC,,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,9,Negative,Batch Schedule Recharge,"To verify validation message appears ""schedule.recharge.filetype.is.required"" when no of file type not provided"
corpuser,1357,corpuser,RC,CORPORATE,,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,10,Negative,Batch Schedule Recharge,"To verify validation message appears ""category.is.required"" when no of records not provided"
