DATE,EXTNWCODE,MSISDN1,PIN,LOGINID,PASSWORD,EXTCODE,EXTREFNUM,MSISDN2,EXTCODE2,LOGINID2,PRODUCTCODE,QTY,LANGUAGE1,TestcaseId,TestcaseType,Module,Description
,NG,7212121514,1358,,,,,7200009910,,,101,90,1,TUNG13088,Positive,Channel to Channel Withdraw,Using MSISDN and PIN
,,7212121514,1358,,,,,7200009910,,,101,90,,TUNG13082,Negative,Channel to Channel Withdraw,Blank Value in NETWORK Code
,NG,7212121514,1357,,,,,7200009910,,,101,90,,TUNG12840,Negative,Channel to Channel Withdraw,MSISDN AND PIN Does not match
,NG,7212121514,1358,,,,,7200009910,,,151,90,,TUNG12841,Negative,Channel to Channel Withdraw,Different Product Id
,NG,7212121514,1358,,,,,,,,101,90,,TUNG13089,Negative,Channel to Channel Withdraw,Reciever Left Blank
,NG,,,harshadm,1358,,,7200009910,,,101,90,,TUNG13083,Negative,Channel to Channel Withdraw,with Login Id and Password
,NG,,,harshadm,,,,7200009910,,,101,90,,TUNG13081,Negative,Channel to Channel Withdraw,with Login Id but no  Password is present
,NG,,,,,303278,,,,btdist,101,90,,TUNG13086,Positive,Channel to Channel Withdraw,Sender is using External Code and Reciever with loginid
,NG,,,,,303278,,7200009910,,,101,90,,TUNG13084,Positive,Channel to Channel Withdraw,Sender is using External Code and Reciever with Msisdn
,NG,,,,,303278,,,2345345,,101,90,,TUNG13087,Positive,Channel to Channel Withdraw,Sender is using External Code and Reciever with External Code
,NG,7212121514,,,,,,7200009910,,,101,90,1,TUNG13080,Negative,Channel to Channel Withdraw,Using MSISDN but no PIN
,NG,7212121514,1358,harshadm,1358,303278,,,,,101,90,,TUNG13085,Positive,Channel to Channel Withdraw,"Login id , MSISDN and EXTCODE are present"
