DATE,EXTNWCODE,MSISDN,PIN,LOGINID,PASSWORD,EXTCODE,EXTREFNUM,MSISDN2,AMOUNT,LANGUAGE1,LANGUAGE2,SELECTOR,TestcaseId,TestcaseType,Module,Description
,NG,7255555555,1357,,,,,7200005544,100,0,0,1,TUNG12976,Positive,Recharge from Main Distributor to Subscriber ,To verify that A Channel User would be able to recharge a customer’s account by transferring Credit from its own account to the Customer’s account
,NG,7255555555,,,,,,7200005544,100,0,0,1,TUNG12977,Negative,Recharge from Main Distributor to Subscriber ,To verify that When MSISDN is available in request then PIN is mandatory for the request
,NG,7255555555,1357,dist1,1357,2344324,234234,7200005544,100,0,0,1,TUNG12978,Positive,Recharge from Main Distributor to Subscriber ,To validate the tags of the request XML
,NG,,,dist1,,,,7100005544,100,0,0,1,TUNG12979,Negative,Recharge from Main Distributor to Subscriber ,To verify that when LOGINID is available in request then PASSWORD is mandatory for the request
,NG,,,,,,,7200005544,100,0,0,1,TUNG12980,Negative,Recharge from Main Distributor to Subscriber ,"To verify that Between MSISDN, LOGINID and EXTCODE value of one of them must be present"
,NG,7255555555,1357,dist1,1357,2344324,234234,7200005544,100,0,0,1,TUNG12981,Positive,Recharge from Main Distributor to Subscriber ,"To verify that MSISDN, LOGINID or EXTCODE. All of them can also be present in request"
,NG,7255555555,1357,,,,,7200005544,100,0,0,1,TUNG12982,Negative,Recharge from Main Distributor to Subscriber ,To validate the response XMl of the C2S transfer
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9967,Positive,Roam Recharge Penalty,Check Roam Daily Threshold is configured as control preference for retailer
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9968,Positive,Roam Recharge Penalty,Check Roam Daily Threshold is configured as control preference for retailer network wise
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9969,Positive,Roam Recharge Penalty,Check Roam Daily Threshold is configured as control preference for retailer is updated with updating preference cache(refer Test case no. 5)
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9970,Positive,Roam Recharge Penalty,Check that default system preference is picked if category control preference is not defined.
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9971,Positive,Roam Recharge Penalty,Check Roam Penalty Percentage is configured as control preference for retailer
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9972,Positive,Roam Recharge Penalty,Check Roam Penalty Percentage is configured as control preference for retailer network wise
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9973,Positive,Roam Recharge Penalty,Check Roam Penalty Percentage is configured as control preference for retailer is updated with updating preference cache
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9975,Positive,Roam Recharge Penalty,"Check that default system for the below 'ROAM_RECHARGE_DAILY_THRESHOLD ', 'ROAM_RECHARGE_PENALTY_PERCENTAGE', 'ROAM_PENALTY_OWNER_PERCENTAGE'  preference is picked if category control preference is not defined."
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9976,Positive,Roam Recharge Penalty,Check Roam Penalty OwnerPercentage is configured as control preference for retailer's owner
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9977,Positive,Roam Recharge Penalty,Check Roam Penalty Owner Percentage is configured as control preference for retailer network wise
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9978,Positive,Roam Recharge Penalty,Check Roam Penalty  OwnerPercentage is configured as control preference for retailer is updated with updating preference cache
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9979,Positive,Roam Recharge Penalty,Check that penalty is being charged and additional commission is not given if user crosses the daily roam threshold
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9980,Positive,Roam Recharge Penalty,Check that penalty is not being charged and additional commission is  given if user does not cross the daily roam threshold
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9981,Positive,Roam Recharge Penalty,Check that user's owner is charged penalty if user crosses daily roam threshold
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9982,Positive,Roam Recharge Penalty,Check that penalty is calculated correctly for user
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9983,Positive,Roam Recharge Penalty,Check that correct minimum commssion slab is picked for user from Commission Profile Minimum Cache
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9984,Positive,Roam Recharge Penalty,Check that Commission Profile minimum cache is updated successfully from superadmin
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9985,Positive,Roam Recharge Penalty,Check that penalty is calculated correctly for user's owner
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9986,Positive,Roam Recharge Penalty,Check minimum percenatge slab is picked when all percentage slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9987,Positive,Roam Recharge Penalty,Check minimum amount slab is picked when all amount slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9988,Positive,Roam Recharge Penalty,Check minimum percentage slab is picked when both amount and commission slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9989,Positive,Roam Recharge Penalty,Check minimum percentage slab is picked when single amount and multiple percenatge commission slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9990,Positive,Roam Recharge Penalty,Check percentage slab is picked when multiple amount and single percenatge commission slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9991,Positive,Roam Recharge Penalty,Check that user should not get additional commission if he/she has crossed daily roam threshold but penalty calculated comes out to be 0 (base commission is 0%)
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9992,Positive,Roam Recharge Penalty,Check that user should not get additional commission if he/she has crossed daily roam threshold but penalty calculated comes out to be 0 (penalty percenatge is 0%)
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9993,Positive,Roam Recharge Penalty,Check that message is sent to user or owner if roam penalty is deducted for user  or owner respectively
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9994,Positive,Roam Recharge Penalty,"Check if user balance is sufficient so that tranaction amount+penalty can be deducted , otherwise reject the transaction"
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9995,Positive,Roam Recharge Penalty,"Check if user's owner balance is sufficient so that penalty can be deducted, otherwise reject the transaction."
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9996,Positive,Roam Recharge Penalty,Check that user's roam daily roam amount  is increasing on successful transaction
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9997,Positive,Roam Recharge Penalty,Check that user's roam daily roam amount  is not increase on ambiguous transaction if system pref for on the transaction credit back is true for ambiguous
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9998,Positive,Roam Recharge Penalty,Check that roam daily amount is set to 0 on first transaction of the day.
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG9999,Positive,Roam Recharge Penalty,Check that user's daily roam amount  is not increased on failed transaction
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10000,Positive,Roam Recharge Penalty,Check that entry for penalty goes into adjustments  if recharge is made successful on reconciliation
