MSISDN1,PIN,MSISDN2,AMOUNT,LANGUAGE1,LANGUAGE2,SELECTOR,TestcaseId,TestcaseType,Module,Description
7200009910,1357,8188002111,100,,,3,TUNG12983,Positive,Postpaid Bill Payment through USSD,"To verify that channel user is able to initiate the ""PPB"" request for subscriber through USSD with all the mandatory fields."
,1357,,,1,,,TUNG12984,Negative,Postpaid Bill Payment through USSD,"To verify that channel user is unable to initiate the ""PPB"" request through USSD if all the mandatory fields are left blank."
7200009910,,8188002111,100,,,3,TUNG12985,Positive,Postpaid Bill Payment through USSD,"To verify that following tag name is available while initiating ""PPB"" request through USSD and user is able to initiate successfully without entering value in it. Note the Fields ane leave fields as blank(PIN,LANGUAGE1,LANGUAGE2)."
7.20E+33,4.32E+18,4.23E+52,1.00E+36,,,,TUNG12986,Negative,Postpaid Bill Payment through USSD,"To verify that channel user is unable to initiate the ""PPB"" request if all the fields having more than the maximum limit of characters"
7200009910,2468,8188002111,100,,,3,TUNG12987,Negative,Postpaid Bill Payment through USSD,"To verify that channel user is unable to initiate the ""PPB"" request if the entered value in the PIN field is having invalid value(Pin value of other channel,other than numeric,more than character limit)."
7200009910,1357,8188002111,100,,,3,TUNG12988,Positive,Postpaid Bill Payment through USSD,"To verify that response is initiated successfully with all the mandatory fields(TYPE,TXNID and TXNSTATUS)and valid values."
7200009910,1357,8188002111,100,,,3,TUNG12989,Positive,Postpaid Bill Payment through USSD,"To verify that TXNSTATUS field contain 200 value if ""PPB"" response is generated successfully else it display value other than 200"
7200009910,1357,8188002111,100,,,0,TUNG12990,Negative,Postpaid Bill Payment through USSD,"To verify that TXNSTATUS field contain ""Fail"" value if ""PPB"" response is not generated successfully."
7200009910,1357,8188002111,100,,,3,TUNG12991,Positive,Postpaid Bill Payment through USSD,"To verify that success ""PPB"" response field contain all the  fields values in the character limit"
7200009910,1357,8188002111,100,,,3,TUNG12992,Negative,Postpaid Bill Payment through USSD,"To verify that channel user is unable to initiate the ""PPB"" request if MSISDN1/MSISDN2 field contain value of the deleted user."
7200009910,1357,8188002111,1000000,,,3,TUNG12993,Negative,Postpaid Bill Payment through USSD,"To verify that channel user is unable to initiate the ""PPB"" request if entered value in the amount field is more than the channel user balance."
7200009910,1357,8188002111,1000000,A,B,3,TUNG12994,Negative,Postpaid Bill Payment through USSD,"To verify that channel user is unable to initiate the ""PPB"" request if entered value in the Language1/Language2 field is other than numeric."
7200009910,1357,8188002111,1000000,,,abc,TUNG12995,Negative,Postpaid Bill Payment through USSD,"To verify that channel user is unable to initiate the ""PPB"" request if entered value in the ""SELECTOR"" field is other than numeric."
