LOGIN_ID,PASSWORD,DATA_LOGINID,CATEGORY_CODE,DOMAIN_CODE,GEO_DOMAIN_CODE,TYPE,SCHEDULE_FROM_DATE,SCHEDULE_TO_DATE,BATCHID,SCH_STATUS,STATUSIN,TestcaseId,TestcaseType,Module,Description
,,corpuser,COR,CORP,JKA,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,1,Negative,View Schedule Recharge in Batch,"To verfy validation message appears ""Login Id is not available in request"" when LOGIN_ID   not provided"
corpuser,,corpuser,COR,CORP,JKA,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,2,Negative,View Schedule Recharge in Batch,"To verify validation messsage appears ""Password is not available in request"" when password is not provided"
corpuser1,1357,corpuser,COR,CORP,JKA,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,3,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""User does not exists in the system"" when wrong LOGIN_ID provided"
corpuser,abcd,corpuser,COR,CORP,JKA,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,4,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""User ID or Password is incorrec"" when wrong PASSWORD provided"
corpuser,1357,corpuser,COR,CORP,JKA,,2/3/2017,30/3/2017,,,,5,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""Action type does not exists in the request"" when TYPE is not provided"
corpuser,1357,corpuser,,CORP,JKA,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,6,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""category.is.required"" when category is not provided"
corpuser,1357,corpuser,COR,,JKA,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,7,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""schedule.recharge.domain.is.required"" when domain is not provided"
corpuser,1357,corpuser,COR,CORP,,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,8,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""schedule.recharge.geodomain.is.required"" when geo grphical domain  not provided"
corpuser,1357,,,,,,,,,,,9,Negative,View Schedule Recharge in Batch,To verify all field validation messages appears when do not provide any value
corpuser,1357,corpuser,COR,CORP,ABC,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,10,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""invalid.geographical.domain.code"" when provide invalid geo graphical domain"
corpuser,1357,corpuser,COR,ABC,JKA,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,11,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""invalid.domain.code"" when provide invalid domain code"
corpuser,1357,corpuser1,COR,CORP,JKA,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,12,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""invalid.login.id"" when provide invalid login id"
corpuser,1357,corpuser,ABC,CORP,JKA,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,13,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""invalid.category.code"" when provide invalid category code"
corpuser,1357,corpuser,COR,CORP,JKA,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,14,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""btsl.date.error.datecompare""  when date difference is more than date defined in system prefernce (MAX_DATEDIFF)"
corpuser,1357,corpuser,COR,CORP,JKA,VIEWSCHRCBATCH,2/3/2017,,,,,15,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""scheduleToDate.is.required"" when todate are not provided"
corpuser,1357,corpuser,COR,CORP,JKA,VIEWSCHRCBATCH,,30/3/2017,,,,16,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""scheduleFromDate.is.required"" when fromdate are not provided"
corpuser,1357,corpuser,COR,CORP,JKA,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,Y,,17,Negative,View Schedule Recharge in Batch,"To verify validation message appears ""restrictedsubs.scheduletopupdetails.error.msg.schedule.status"" when scheduled status is other than ('E','C','S')"
corpuser,1357,corpuser,COR,CORP,JKA,VIEWSCHRCBATCH,2/3/2017,30/3/2017,,,,18,Negative,View Schedule Recharge in Batch,"To verfiy validation message appears ""btsl.error.msg.fromdatebeforetodate"" when todate is before fromdate"
