loginId,password,dataloginId,categoryCode,domainCode,geoDomainCode,msisdn,ViewScheduleType,TestcaseId,TestcaseType,Module,Description
,1357,corpuser,COR,CORP,ZAR,450000000,VIEWSUBSSCHEDULE,1,Negative,View schedule topup,"To verfy validation message appears ""Login Id  is not available in request"" when LOGIN_ID not provided"
corpuser,,corpuser,COR,CORP,ZAR,450000000,VIEWSUBSSCHEDULE,2,Negative,View schedule topup,"To verify validation messsage appears ""Password is not available in request"" when password is not provided"
corpuser1,1357,corpuser,COR,CORP,ZAR,450000000,VIEWSUBSSCHEDULE,3,Negative,View schedule topup,"To verify validation message appears ""User does not exists in the system"" when wrong LOGIN_ID provided"
corpuser,abcd,corpuser,COR,CORP,ZAR,450000000,VIEWSUBSSCHEDULE,4,Negative,View schedule topup,"To verify validation message appears ""User ID or Password is incorrect"" when wrong PASSWORD provided"
corpuser,1357,corpuser,COR,CORP,ZAR,450000000,,5,Negative,View schedule topup,"To verify validation message appears ""Action type does not exists in the request"" when TYPE is not provided"
corpuser,1357,,COR,CORP,ZAR,450000000,VIEWSUBSSCHEDULE,6,Negative,View schedule topup,"To verify validation message appears ""username.is.required"" when loginid  not provided"
corpuser,1357,corpuser,,CORP,ZAR,450000000,VIEWSUBSSCHEDULE,7,Negative,View schedule topup,"To verify validation message appears ""category.is.required"" when no of records not provided"
corpuser,1357,corpuser,COR,,ZAR,450000000,VIEWSUBSSCHEDULE,8,Negative,View schedule topup,"To verify validation message appears ""schedule.recharge.domain.is.required"" when domain is not provided"
corpuser,1357,corpuser,COR,CORP,,450000000,VIEWSUBSSCHEDULE,9,Negative,View schedule topup,"To verify validation message appears ""schedule.recharge.geodomain.is.required"" when geo grphical domain  not provided"
corpuser,1357,,,,,,VIEWSUBSSCHEDULE,10,Negative,View schedule topup,To verify all field validation messages appears when do not provide any value
corpuser,1357,corpuser,COR,CORP,ABC,450000000,VIEWSUBSSCHEDULE,11,Negative,View schedule topup,"To verify validation message appears ""invalid.geographical.domain.code"" when provide invalid geo graphical domain"
corpuser,1357,corpuser,COR,ABC,ZAR,450000000,VIEWSUBSSCHEDULE,12,Negative,View schedule topup,"To verify validation message appears ""invalid.domain.code"" when provide invalid domain code"
corpuser,1357,corpuser1,COR,CORP,ZAR,450000000,VIEWSUBSSCHEDULE,13,Negative,View schedule topup,"To verify validation message appears ""invalid.login.id"" when provide invalid login id"
corpuser,1357,corpuser,ABC,CORP,ZAR,450000000,VIEWSUBSSCHEDULE,14,Negative,View schedule topup,"To verify validation message appears ""invalid.category.code"" when provide invalid category code"
corpuser,1357,corpuser,COR,CORP,ZAR,7248,VIEWSUBSSCHEDULE,15,Negative,View schedule topup,"To verfiy validation message appears ""restrictedsubs.viewsingletrfschedule.msg.invalidmsisdn"" if invalid mobile number is provided like minimum length of msisdn doesnot match to length defined in system preference"
corpuser,1357,corpuser,COR,CORP,ZAR,5686568600,VIEWSUBSSCHEDULE,16,Negative,View schedule topup,"To verify validation message appears ""restrictedsubs.viewsingletrfschedule.msg.nonetworkprefix"" if no such network prefix is defined in system for which mobile number is entered."
corpuser,1357,corpuser,COR,CORP,ZAR,7100009908,VIEWSUBSSCHEDULE,17,Negative,View schedule topup,"To verify validation message appears ""restrictedsubs.viewsingletrfschedule.msg.nonetworksupportmsisdn"" if  network prefix of entered msisdn is different from network for which login id is entered."
corpuser,1357,corpuser,COR,CORP,ZAR,7211337766,VIEWSUBSSCHEDULE,18,Negative,View schedule topup,"To verify validation message appears ""restrictedsubs.viewsingletrfschedule.msg.noschedule"" if no scheduled data is found for entered details"
btchadm,1357,corpuser,COR,CORP,ZAR,7211337766,VIEWSUBSSCHEDULE,19,Negative,View schedule topup,"To verify validation message appears ""User ID or Password is incorrect"" when wrong user details is provided to which role is not assigned"
corpuser,1357,corpuser,COR,CORP,ZAR,abc@@,VIEWSUBSSCHEDULE,20,Negative,View schedule topup,"To verify validation message appears ""msisdn.is.not.valid"" when provide invalid msisdn like albhabets or special characters in msisdn field"
corpuser,1357,corpuser,COR,CORP,ZAR,7.22E+15,VIEWSUBSSCHEDULE,21,Negative,View schedule topup,"To verify validation message appears ""msisdn.is.not.valid"" when provide msisdn is inserted of length more than max length specified in system preferences i.e. length 15"
corpuser,1357,satcor@@,COR,CORP,ZAR,7211337766,VIEWSUBSSCHEDULE,22,Negative,View schedule topup,"To verify validation message appears ""schedule.recharge.username.is.not.valid"" when provide invalid loginid  i.e. except alphanumeric and space in login id field"
