TestCaseNo.,Discription,FirstName,LastName,ShortName,UserPrefix,External Code,SubscriberCode ,Mobile No.,ssn ,Status ,Designation,Division,Department ,Address 1,Address 2,City State ,State ,Country,Email-ID,Appointment Date,Login ID ,Password ,Conf Pwd.,Allowd IP.,Time From.,Time To.,Role type,MobileNo.,SMS PIN,Conf. PIN,Assertion
TEST001,Try to create channel admin without agiving any details,,,,,,,,,,,,,,,,,,,,,,,,,,,7213526393,1357,1357,Subscriber code is required.
TEST002,Try to submit without giving first name of users ,,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,First Name is required.
TEST003,Try to submit without subscriber code,NetworAdmin,Admin,USER12,Mr,13579,,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Subscriber code is required.
TEST004,Try to submit without status,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Status is required.
TEST005,Try to submit without division ,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Division is required.
TEST006,Try to submit without login ID,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Web login ID is required
TEST007,Try to submit without web password,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Web password is required
TEST008,Try to submit without conf password,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,,,00:00,23:59,checkall,7213526393,1357,1357,Confirm password is required
TEST009,Try to submit without from time,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,,23:59,checkall,7213526393,1357,1357,From time is required
TEST010,Try to submit without to time,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,,checkall,7213526393,1357,1357,To time is required
TEST011,Try to submit without mobile number,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,,checkall,,1357,1357,Mobile number cannot be left blank
TEST012,Try to submit without without SMS PIN,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,,checkall,7213526393,,1357,SMS PIN cannot be left blank
TEST013,Try to submit without without Conf PIN,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,,checkall,7213526393,1357,,Confirm SMS PIN cannot be left blank
TEST014,Try to submit plain address as an email ID,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abcxyzcom,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST015,Try to submit a garbage as an email ID,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,!$@!%@#%!#$.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST016,Try to submit email ID without username,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,@hh.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST017,Try to submit email ID within HTML tags,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,test<email@domain.com>,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST018,Try to submit email ID without @ symbol,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email.domain.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST019,Try to submit email ID having two @ symbol,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email@domain@com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST020,Try to submit email ID leading with dot,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,.email@domain.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST021,Try to submit email ID trailing dot,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email.@domain.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST022,Try to submit email ID in username contains multiple dots,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email..g@domain.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST023,Try to submit email ID in which username is enclosed within inverted commas,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,e'm'ail@domain.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST024,Try to submit email ID followed by name in bracket,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email@domain.com(Smith),calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST025,Try to submit email ID without top level domain,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email@domain,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST026,Try to submit email ID in which username having space,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,test mail@domain.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST027,Try to submit email ID having multiple dots in domians,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email@domain..com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Email ID is not a vaild e-mail address.
TEST028,Try to submit mobile number having space,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7213 568972,1357,1357,Mobile number is not valid
TEST029,Try to submit mobile number having commas,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,"7,21,35,68,972",1357,1357,Mobile number is not valid
TEST030,Try to submit mobile number which in inside the inverted comma,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,72135'68972',1357,1357,Mobile number is not valid
TEST031,Try to submit Mobile number as set of charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,XYZPQRSG,1357,1357,Mobile number is not valid
TEST032,Try to submit Mobile number of only two digits,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,72,1357,1357,Mobile number is not valid
TEST033,Try to submit Mobile number as zero,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,0,1357,1357,Mobile number is not valid
TEST034,Try to submit a negativeMobile number,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,-8783424786,1357,1357,Mobile number is not valid
TEST035,Try to submit Mobile number in decimal format,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,21354518.7,1357,1357,Mobile number is not valid
TEST036,Try to submit Mobile number  as exponential form,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,10^10,1357,1357,Mobile number is not valid
TEST037,Try to submit Mobile number containing charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,72A568972,1357,1357,Mobile number is not valid
TEST038,Try to submit diffrent SMS PIN and Conf PIN,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7212352639,1357,2468,SMS PIN and Confirm SMS PIN do not match
TEST039,Try to submit a repeating number a PIN,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7212352639,1111,1111,PIN cannot contain repeating characters
TEST040,Try to submit sequential number as PIN,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7212352639,1234,1234,PIN cannot contain sequential charcters
TEST041,Try to submit sequential number as PIN,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7212352639,4321,4321,PIN cannot contain sequential charcters
TEST042,Try to submit a recurring number as PIN,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7212352639,1212,1212,PIN cannot contain sequential charcters
TEST043,Try to submit PIN as a decimal number,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7212352639,1.02,1.02,SMS PIN not valid
TEST044,Try to submit PIN having spaces,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7212352639,1 25,1 25,SMS PIN not valid
TEST045,Try to submit Pin cotaining only dots,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7212352639,....,....,SMS PIN not valid
TEST046,Try to submit a single digit PIN,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7212352639,1,1,PIN length should be between 4 and 4 characters
TEST047,Try to submit a single double PIN,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7212352639,22,22,PIN length should be between 4 and 4 characters
TEST048,Try to submit PIN having charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abc@gmail.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,7212352639,ABCD,ABCD,PIN should be numerical
TEST049,Try to submit login ID of of two and more word,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test 1234,test@12,test@12,,00:00,23:59,checkall,7213526393,1357,1357,Invalid login ID. Login ID should not contain any space between characters.
TEST050,Try to submit a password of single charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,a,a,,00:00,23:59,checkall,7213526393,1357,1357,Password length should be between 6 and 8 characters.
