TestCaseNo.,Discription,FirstName,LastName,ShortName,UserPrefix,External Code,SubscriberCode ,Mobile No.,ssn ,Status ,Designation,Division,Department ,Address 1,Address 2,City State ,State ,Country,Email-ID,Appointment Date,Login ID ,Password ,Conf Pwd.,Allowd IP.,Time From.,Time To.,Role type,Assertion
TEST001,Try to create network admin without agiving any details,,,,,,,,,,,,,,,,,,,,,,,,,,,Subscriber code is required.
TEST002,Try to submit without giving first name of users ,,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,First Name is required.
TEST003,Try to submit without subscriber code,NetworAdmin,Admin,USER12,Mr,13579,,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Subscriber code is required.
TEST004,Try to submit without Mobile number,NetworAdmin,Admin,USER12,Mr,13579,1357,,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Mobile number is required.
TEST005,Try to submit without status,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Status is required.
TEST006,Try to submit without division ,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Division is required.
TEST007,Try to submit without login ID,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,,test@12,test@12,,00:00,23:59,checkall,Web login ID is required
TEST008,Try to submit without web password,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,,test@12,,00:00,23:59,checkall,Web password is required
TEST009,Try to submit without conf password,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,,,00:00,23:59,checkall,Confirm password is required
TEST010,Try to submit without from time,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,,23:59,checkall,From time is required
TEST011,Try to submit without to time,NetworAdmin,Admin,USER12,Mr,13579,1357,7213568972,135796,Active,NA_Admin,IT division,IT department,Gurgaon,Gurgaon,Gurgaon,Haryana,India,abc@xyz.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,,checkall,To time is required
TEST012,Try to submit mobile number having space,NetworAdmin,Admin,USER12,,,1357,7213 568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,MSISDN is incorrect.
